symbol,price,1h,24h,7d,24h_volume,mkt_cap,target_liquidity_volume
AVA,-0.142890508341921,0.3081713704544748,-0.0463286906192043,0.1198395118404838,-0.1033291066489437,-0.096967304979331,-0.103460179301419
AVAX,-0.1270995242964417,0.9045643463254854,0.1399058326272593,-0.0550264155796704,0.2094441892658044,0.4158026254413023,0.3979531875357758
AXS,-0.1321689626515617,0.9791134683093616,0.6478181687539785,0.2859621428896304,-8.471456668317936e-06,-0.000568878488031,-0.0214821555902043
BABYDOGE,-0.1431807516909434,0.60636785838998,-0.0463286906192043,-0.2736088248548634,-0.1009013635137701,-0.0868692159902089,-0.1011988224531591
BADGER,-0.1415833221280954,0.5318187364061038,0.0552537766061394,-0.129344434733236,-0.1032665803040287,-0.0968658168304475,-0.1033506970303866
BAKE,-0.143061069082543,0.6436424193819181,0.1568362438314833,-0.1249727865477321,-0.1007700976628308,-0.0960157116209013,-0.0991554750288541
BAL,-0.1406820401476113,0.6809169803738527,-0.0293982794149803,-0.0593980637651742,-0.0959099260578766,-0.0955339629527079,-0.1015378426230942
BANANA,-0.1390977042690848,0.2336222484705985,-2.7890553057034877,2.992012369716519,-0.1045624138732658,-0.0965808301929311,-0.104565650038156
BAND,-0.1423907660331296,0.6436424193819181,0.4446532343032908,0.084866326356453,-0.0954077902009164,-0.0948353405741519,-0.099429780962826
BAT,-0.1430012361798115,0.4199950534302893,0.5293052903244106,0.9941691489412556,0.0129744341506796,-0.0665912690790753,-0.029519728942082
BCD,-0.1430682003398211,-0.0645742394649067,0.0213929541976915,-0.1730609165882746,-0.1044635176456495,-0.0962342741271732,-0.0997748337819846
BCH,-0.0786790773642836,0.3081713704544748,-0.1479111578445481,0.0673797336144376,0.3949180005193474,0.0488659865023666,0.3275129543455841
BDX,-0.1431586307837637,0.3081713704544748,-0.1817719802529961,1.820410656001485,-0.1046994735032827,-0.0947731127348709,-0.1046638651777538
BETA,-0.143096190055447,0.3454459314464129,-0.19870239145722,-0.4178732149764906,-0.0980182947333399,-0.0951201792585644,-0.098889661852877
BEZOGE,-0.1431807516909026,0.0845240045028459,-0.4865193819290275,-0.2823521212258706,-0.1046934278050072,-0.0952789258899339,-0.1046981878091894
BFC,-0.1431481966444579,0.121798565494784,-0.1140503354361001,-0.0593980637651742,-0.1042666121634778,-0.0946371388085327,-0.1040742644251826
BICO,-0.1428948729035699,0.0845240045028459,0.901774336817338,0.0498931408724221,-0.0941092199555009,-0.0947937093061955,-0.0937306067870263
BIFI,0.1745004147612461,0.0845240045028459,0.3938620006906189,-0.3610417885649405,-0.104243819094411,-0.0958027286431763,-0.1042528330895377
BIT,-0.1429363362392338,0.5690932973980419,-0.0801895130276522,0.054264789057926,-0.0849816545798463,-0.0726447212189434,-0.0894152022918405
BNB,-0.0595055580409583,0.3081713704544748,0.0721841878103617,-0.0856279528781974,0.4011982297685681,1.5857551189089787,0.4118911858799332
BNT,-0.142681009382777,0.2708968094625367,0.1568362438314833,0.1679276418810263,-0.0952952102299341,-0.0834251064021746,-0.0982058219343507
BOBA,-0.142916695711814,-0.1018488004568485,0.6308877575497545,0.4914296076083119,-0.1031737167256361,-0.0937002253439232,-0.1020051367863291
BOO,-0.1403808853938418,0.6809169803738527,-0.8759188396261771,-0.5796241978401334,-0.1029043114356288,-0.0957617915317294,-0.1036626541914692
BSV,-0.1263531842544911,0.121798565494784,-0.1479111578445481,-0.1861758611447861,-0.0557486260808918,-0.0603454503914012,-0.0746960862464592
BSW,-0.1431026923793914,0.3454459314464129,0.3092099446694991,0.548261034019862,-0.1028865292025211,-0.0966700939697669,-0.1029746679366772
BTC,8.773500853710614,0.4572696144222273,0.1060450102188113,0.1373261045824993,12.723457643211464,20.180439266715474,7.317291483551171
BTCST,-0.1398244037836155,0.830015224341609,-0.0293982794149803,-0.4528464004605215,-0.1008581033691515,-0.0958629086799852,-0.1036205086533735
BTG,-0.1366906485197531,0.3081713704544748,0.0721841878103617,0.0367781963159105,-0.1014467819887163,-0.0851669656068709,-0.1025231373907038
BTRFLY,-0.1182438287109586,-0.0272996784729685,-0.3341456810910118,-0.994930775463,-0.1045514874670772,-0.0969685757978583,-0.1039661468675028
BTSE,-0.1413432712374096,-0.139123361448783,-0.19870239145722,0.4520847739387771,-0.1041658673201648,-0.0943022841630693,-0.104695969832827
BTT,-0.1431807512960903,-0.1018488004568485,-0.0293982794149803,-0.0899996010637013,-0.0729237698065536,-0.0546945866959656,-0.0786291480816209
