coin,symbol,price,1h,24h,7d,24h_volume,mkt_cap,date
Amp,AMP,-0.1431752881032556,0.3081713704544748,-0.28335444747834154,-0.0899996010637013,-0.1018315789579332,-0.06724110149518062,2022-03-16
Radix,XRD,-0.14315415863567021,0.19634768747866033,0.6816789911624264,-0.10748619380571675,-0.1046837885428067,-0.0672557984068956,2022-03-16
Kusama,KSM,-0.11550070171466685,0.5690932973980419,0.2753491222610511,0.06300808542893374,-0.0808761625718637,-0.06898454183853225,2022-03-16
Celo,CELO,-0.14263081692381546,0.45726961442222736,0.22455788864837917,-0.4353598077185061,-0.08786350472381138,-0.07051977939140304,2022-03-16
Kadena,KDA,-0.14182119073795685,0.5318187364061038,-0.24949362506989198,0.032406548130406734,-0.08349947764859175,-0.07084889755966692,2022-03-16
Chiliz,CHZ,-0.14313748993827716,0.60636785838998,0.0044625429934675885,-0.01568158191013571,-0.065104461785039,-0.07117459539410406,2022-03-16
Dash,DASH,-0.12187296172196367,0.23362224847059854,-0.31721526988678783,0.02803489994490287,-0.015793194834892166,-0.07153773769983561,2022-03-16
Frax Share,FXS,-0.13927010445421373,-0.139123361448783,-0.5881018491543712,-0.07688465650718974,-0.10300955131487409,-0.0716454504001936,2022-03-16
Pax Dollar,USDP,-0.1429627363815072,-0.43731984938428825,-0.3849369147036837,-0.10748619380571675,-0.08386929865582327,-0.07260934443501844,2022-03-16
BitDAO,BIT,-0.1429363362392338,0.5690932973980419,-0.08018951302765227,0.05426478905792601,-0.08498165457984633,-0.07264472121894346,2022-03-16
GateToken,GT,-0.14175790459404877,0.08452400450284592,0.12297542142303536,-0.12497278654773218,-0.10197270083032525,-0.07300447683209628,2022-03-16
Convex Finance,CVX,-0.1391893600637103,1.053662590293238,0.5123748791201866,0.5395177376488542,-0.08835870464717233,-0.07301650185541961,2022-03-16
Synthetix Network Token,SNX,-0.1422554646220158,1.6127810051723102,0.9356351592257859,0.26410390196211125,-0.08179951385221329,-0.07499724914023165,2022-03-16
Xido Finance,XIDO,-0.1364462330674185,-1.369183874182742,-1.2314574749148823,3.2455679644757423,-0.1042313974843502,-0.07526980200931625,2022-03-16
Loopring,LRC,-0.143025656556921,0.7554661023577327,0.1906970662399313,-0.24737893574184022,-0.06407970668425163,-0.07558472646423513,2022-03-16
NEM,XEM,-0.14315931283254116,0.4199950534302893,0.3261403558737229,0.05863643724342988,-0.09719869030320528,-0.07563939280834042,2022-03-16
Anchor Protocol,ANC,-0.14250424463599928,1.8737029321158771,1.0880088600638016,-0.8900112190109074,-0.06578685217137496,-0.0775339584753777,2022-03-16
Oasis Network,ROSE,-0.14313101991208893,0.9791134683093615,0.7832614583877703,0.014919955388391299,-0.08089541499816075,-0.07788044781099787,2022-03-16
Curve DAO Token,CRV,-0.14273993096503632,0.60636785838998,-0.02939827941498038,-0.12934443473323604,-0.05005524350932788,-0.07796422496068454,2022-03-16
Decred,DCR,-0.1307701206431106,0.38272049243835116,2.0191814762961195,0.2815904947041266,-0.09568836729178416,-0.07807035731147041,2022-03-16
cUSDT,CUSDT,-0.14317600121439686,-0.36277072740041194,-0.4018673259079077,-0.10311454562021288,-0.10475914083715702,-0.07837908425416648,2022-03-16
Secret,SCRT,-0.14217472023151237,0.2708968094625367,-0.2664240362741159,0.014919955388391299,-0.09755905074775365,-0.0786861662476774,2022-03-16
LINK,LN,-0.11492894413866966,0.9791134683093615,-0.09711992423187626,0.001805010831879726,-0.10432424837616454,-0.0787996365726653,2022-03-16
